               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045274,            0.064169,            0.020616,              0.6885,             0.65125,             0.71289,             0.45961,            0.041085,            0.037102,           0.0098601,               7e-05,               7e-05,             0.09937
                   1,            0.046024,            0.066332,            0.017455,             0.69477,             0.66102,             0.72577,             0.47241,            0.040785,            0.036824,           0.0095889,          0.00014851,          0.00014851,            0.098649
                   2,            0.045218,            0.065169,             0.01788,             0.71784,             0.65912,             0.72567,             0.47083,            0.040661,            0.036589,           0.0092719,          0.00022545,          0.00022545,            0.097925
                   3,            0.045432,            0.062957,            0.017167,             0.71202,               0.667,              0.7332,             0.47866,            0.040313,            0.036357,           0.0089657,          0.00030079,          0.00030079,            0.097201
                   4,            0.045111,            0.072439,              0.0164,             0.70635,             0.67805,             0.73814,             0.48672,            0.040006,             0.03616,           0.0087135,          0.00037456,          0.00037456,            0.096475
                   5,            0.044968,            0.062123,            0.016815,             0.69316,              0.7008,             0.74664,             0.49573,            0.039778,            0.035906,           0.0083994,          0.00044673,          0.00044673,            0.095747
                   6,            0.044068,            0.065661,            0.015558,             0.78054,             0.64898,             0.75029,             0.49901,            0.039614,            0.035672,           0.0081383,          0.00051733,          0.00051733,            0.095017
                   7,            0.044891,            0.059661,            0.017136,             0.78584,             0.65894,             0.75166,             0.50043,             0.03943,             0.03543,           0.0078814,          0.00058634,          0.00058634,            0.094286
                   8,            0.043983,            0.063525,            0.014496,             0.80067,             0.65287,             0.75829,             0.49894,            0.039403,            0.035209,           0.0076881,          0.00065377,          0.00065377,            0.093554
                   9,            0.044007,            0.057427,            0.015777,             0.71789,             0.71084,             0.77108,             0.51084,            0.039106,            0.034924,           0.0075107,          0.00071961,          0.00071961,             0.09282
                  10,            0.042357,            0.055839,            0.014147,              0.7659,              0.6952,             0.77338,             0.51348,            0.038663,            0.034752,            0.007438,          0.00078387,          0.00078387,            0.092084
                  11,            0.044102,             0.06411,            0.014541,             0.77068,             0.69788,              0.7924,             0.52718,            0.038554,            0.034509,           0.0072534,          0.00084654,          0.00084654,            0.091347
                  12,            0.041763,            0.061844,            0.014003,             0.78605,             0.69911,             0.78515,              0.5305,            0.038454,            0.034254,           0.0070389,          0.00090764,          0.00090764,            0.090608
                  13,            0.045309,            0.065445,            0.012305,             0.81781,             0.69174,             0.78893,             0.53157,            0.038121,             0.03388,           0.0067745,          0.00096714,          0.00096714,            0.089867
                  14,             0.04319,            0.052354,            0.013724,             0.79145,             0.70379,             0.79271,             0.54038,            0.038111,            0.033687,           0.0065553,           0.0010251,           0.0010251,            0.089125
                  15,            0.041625,            0.053202,            0.012494,             0.81332,             0.70499,             0.80537,             0.54456,            0.037926,            0.033447,           0.0063827,           0.0010814,           0.0010814,            0.088381
                  16,            0.043068,            0.062771,            0.013588,             0.83492,             0.70614,             0.81445,             0.55464,            0.037792,            0.033276,           0.0061052,           0.0011362,           0.0011362,            0.087636
                  17,            0.042044,            0.067774,            0.013284,             0.84467,             0.69643,             0.80417,             0.55479,            0.037456,            0.033059,           0.0059219,           0.0011893,           0.0011893,            0.086889
                  18,            0.042747,            0.055709,            0.012324,             0.80307,             0.72772,             0.81183,             0.55394,            0.037445,            0.032427,           0.0057621,           0.0012409,           0.0012409,            0.086141
                  19,            0.042117,            0.057023,            0.012867,               0.823,             0.72884,             0.81386,             0.55498,            0.037293,            0.032295,           0.0056323,           0.0012909,           0.0012909,            0.085391
                  20,            0.042376,            0.055303,            0.011086,             0.81531,             0.73557,             0.82019,             0.56026,            0.037274,            0.031973,           0.0054916,           0.0013393,           0.0013393,            0.084639
                  21,            0.040577,            0.054612,            0.011652,             0.84292,             0.72782,             0.82512,             0.56624,            0.036957,            0.031795,           0.0054188,           0.0013862,           0.0013862,            0.083886
                  22,            0.040776,            0.059265,            0.011566,             0.80376,             0.75301,             0.82458,             0.56895,            0.036972,            0.031644,           0.0052466,           0.0014314,           0.0014314,            0.083131
                  23,            0.042532,            0.055341,            0.011175,             0.79441,             0.77642,             0.83013,             0.57062,            0.036647,            0.031309,           0.0051486,           0.0014751,           0.0014751,            0.082375
                  24,            0.040996,            0.052123,            0.010684,             0.84182,             0.76094,             0.82914,             0.57611,            0.036377,            0.030961,           0.0049932,           0.0015172,           0.0015172,            0.081617
                  25,            0.040868,            0.058865,            0.010207,             0.84026,             0.75894,             0.82884,             0.57337,            0.036504,            0.030892,           0.0048499,           0.0015577,           0.0015577,            0.080858
                  26,            0.041336,            0.059904,            0.011165,              0.8528,             0.75909,             0.83373,              0.5718,            0.036531,            0.030742,           0.0047737,           0.0015966,           0.0015966,            0.080097
                  27,            0.041122,             0.05752,            0.010829,              0.8563,             0.76989,              0.8391,                0.58,            0.036406,            0.030443,           0.0047178,           0.0016339,           0.0016339,            0.079334
                  28,            0.039588,            0.056217,            0.010502,             0.85495,              0.7707,             0.83928,             0.57468,            0.036412,            0.029925,           0.0046002,           0.0016697,           0.0016697,             0.07857
                  29,             0.04002,            0.053364,            0.010568,             0.87865,             0.76056,             0.84226,             0.58946,            0.035788,             0.02958,           0.0044864,           0.0017038,           0.0017038,            0.077804
                  30,            0.040264,            0.050428,           0.0098489,             0.88158,              0.7641,             0.84694,             0.58333,            0.036015,            0.029405,           0.0043965,           0.0017364,           0.0017364,            0.077036
                  31,            0.040877,            0.056406,            0.010271,             0.85354,             0.79114,             0.85022,             0.60049,            0.035429,            0.029134,           0.0043522,           0.0017674,           0.0017674,            0.076267
                  32,            0.039082,            0.055297,           0.0089939,             0.85613,             0.78492,              0.8531,             0.59153,            0.035429,            0.029138,           0.0042854,           0.0017968,           0.0017968,            0.075497
                  33,            0.039985,            0.055765,            0.010044,             0.86665,             0.79061,             0.85648,             0.59785,            0.035407,            0.028751,           0.0042433,           0.0018246,           0.0018246,            0.074725
                  34,            0.038404,            0.048328,           0.0097533,             0.85827,             0.79752,             0.85637,             0.59557,             0.03564,            0.028475,            0.004216,           0.0018509,           0.0018509,            0.073951
                  35,            0.038667,            0.055713,           0.0099359,             0.86881,             0.79634,             0.85695,             0.60435,            0.035231,            0.028203,           0.0041548,           0.0018755,           0.0018755,            0.073176
                  36,             0.03872,            0.052847,            0.008112,             0.87954,             0.80253,             0.85968,             0.61122,            0.035056,            0.027962,           0.0040037,           0.0018986,           0.0018986,            0.072399
                  37,            0.039305,            0.050299,           0.0087409,             0.88039,             0.80613,             0.86555,             0.62371,            0.034676,            0.027684,           0.0038642,           0.0019201,           0.0019201,             0.07162
                  38,             0.03767,            0.054228,            0.008707,              0.9067,             0.79192,             0.86797,             0.62315,             0.03435,            0.027739,            0.003856,             0.00194,             0.00194,             0.07084
                  39,            0.037218,            0.047236,           0.0096825,              0.8954,             0.78993,             0.87209,             0.62742,            0.034214,            0.027716,           0.0039116,           0.0019583,           0.0019583,            0.070058
                  40,            0.039727,            0.052474,           0.0088174,             0.88049,             0.79359,             0.86789,             0.62704,            0.034304,            0.027556,           0.0038571,           0.0019751,           0.0019751,            0.069275
                  41,            0.039822,            0.051838,           0.0094558,             0.89196,              0.8003,              0.8733,              0.6308,            0.034026,            0.027452,           0.0037694,           0.0019902,           0.0019902,             0.06849
                  42,            0.039506,            0.049712,           0.0097604,             0.90012,             0.79248,             0.87341,             0.62327,            0.034132,            0.027229,           0.0036877,           0.0020038,           0.0020038,            0.067704
                  43,            0.038259,            0.053206,           0.0073198,             0.87234,             0.80849,             0.87483,             0.62698,            0.034006,            0.027077,            0.003652,           0.0020158,           0.0020158,            0.066916
                  44,            0.040569,            0.052646,           0.0084046,             0.89185,             0.80192,             0.87595,             0.63112,            0.033658,            0.026907,           0.0035981,           0.0020262,           0.0020262,            0.066126
                  45,             0.03921,            0.049861,            0.008136,             0.88828,             0.80731,             0.87991,             0.63695,            0.034023,            0.026827,           0.0035639,            0.002035,            0.002035,            0.065335
                  46,            0.038969,             0.05035,           0.0083648,             0.88741,             0.80423,              0.8763,             0.63859,            0.034207,            0.026664,           0.0035115,           0.0020423,           0.0020423,            0.064542
                  47,            0.039536,            0.048813,           0.0091668,             0.89027,             0.81642,             0.88311,             0.63925,            0.033863,            0.026605,           0.0035169,           0.0020479,           0.0020479,            0.063748
                  48,            0.037018,             0.05225,            0.007925,             0.89691,             0.81355,             0.88219,             0.63793,            0.033651,            0.026517,           0.0035103,            0.002052,            0.002052,            0.062952
                  49,            0.038751,            0.049568,           0.0079322,             0.88444,             0.82308,             0.88253,             0.63713,            0.033689,            0.026745,           0.0035017,           0.0020545,           0.0020545,            0.062154
                  50,            0.036673,            0.048567,           0.0076387,             0.86869,             0.82555,             0.88772,             0.64219,            0.033089,            0.026321,           0.0034684,           0.0020554,           0.0020554,            0.061355
                  51,            0.039408,            0.048772,           0.0086282,             0.89445,             0.80513,             0.87658,             0.63948,            0.033735,            0.026062,           0.0034644,           0.0020547,           0.0020547,            0.060555
                  52,            0.040372,            0.049869,           0.0097044,             0.87869,             0.82383,             0.88359,             0.64147,            0.032968,            0.025898,           0.0033916,           0.0020524,           0.0020524,            0.059752
                  53,            0.038504,            0.053029,           0.0091834,             0.90615,             0.81577,             0.88497,             0.64402,              0.0329,            0.025739,           0.0033463,           0.0020485,           0.0020485,            0.058949
                  54,            0.037031,            0.046359,           0.0072527,               0.894,             0.81777,             0.88435,             0.64901,            0.032678,            0.025676,           0.0033385,           0.0020431,           0.0020431,            0.058143
                  55,            0.037085,            0.049188,           0.0069942,             0.90584,             0.80825,             0.88437,             0.64571,            0.033281,            0.026025,           0.0033256,           0.0020361,           0.0020361,            0.057336
                  56,            0.038215,            0.052135,           0.0076865,             0.87589,             0.82224,             0.88319,             0.63819,            0.032883,            0.025903,           0.0033103,           0.0020275,           0.0020275,            0.056527
                  57,             0.03723,            0.051003,           0.0082303,             0.90346,             0.82002,             0.88458,             0.65058,            0.032157,            0.025133,           0.0032328,           0.0020173,           0.0020173,            0.055717
                  58,            0.037103,            0.049353,           0.0081002,              0.8861,             0.81533,             0.88026,             0.65889,            0.032382,            0.025258,           0.0032448,           0.0020055,           0.0020055,            0.054906
                  59,            0.036788,            0.048735,           0.0070572,             0.88785,             0.81681,              0.8884,             0.65241,            0.033256,            0.025183,           0.0032132,           0.0019922,           0.0019922,            0.054092
                  60,            0.037173,            0.045655,            0.007979,             0.89715,             0.83008,             0.89425,              0.6694,            0.032071,            0.024929,           0.0032007,           0.0019772,           0.0019772,            0.053277
                  61,            0.038119,            0.052497,           0.0079072,             0.89501,             0.82706,             0.89319,             0.66688,            0.032011,            0.025158,            0.003165,           0.0019607,           0.0019607,            0.052461
                  62,            0.035861,            0.044648,            0.008743,              0.9028,             0.82599,             0.89227,             0.64012,            0.033743,            0.025373,           0.0031682,           0.0019426,           0.0019426,            0.051643
                  63,             0.04008,            0.049523,           0.0078937,             0.89563,             0.81736,             0.88213,             0.59927,            0.036261,             0.02538,           0.0031895,           0.0019229,           0.0019229,            0.050823
                  64,            0.042499,            0.044974,           0.0075515,             0.91779,             0.82225,             0.89147,             0.63952,            0.033548,            0.024955,           0.0032013,           0.0019016,           0.0019016,            0.050002
                  65,            0.036204,            0.044412,           0.0068544,              0.9288,             0.81899,             0.89299,             0.66001,            0.032197,             0.02466,           0.0031273,           0.0018788,           0.0018788,            0.049179
                  66,            0.038314,            0.046477,           0.0075432,              0.9239,             0.82086,               0.898,             0.66008,            0.032785,             0.02473,           0.0031055,           0.0018543,           0.0018543,            0.048354
                  67,            0.036581,             0.04489,           0.0072526,             0.93477,             0.81616,             0.89928,             0.67506,            0.032133,            0.024482,           0.0030938,           0.0018283,           0.0018283,            0.047528
                  68,            0.036739,            0.041793,           0.0073938,             0.89646,             0.83939,             0.89873,             0.66379,            0.032268,            0.024281,           0.0030635,           0.0018007,           0.0018007,            0.046701
                  69,            0.035583,            0.045558,            0.006632,             0.90234,             0.83489,              0.8977,              0.6633,            0.032088,            0.024323,           0.0030327,           0.0017715,           0.0017715,            0.045871
                  70,            0.037346,            0.042486,             0.00693,              0.9002,             0.83549,             0.89955,             0.67276,            0.031935,            0.024214,           0.0030118,           0.0017407,           0.0017407,            0.045041
                  71,            0.036506,             0.04695,           0.0075641,             0.89942,             0.83254,             0.90155,             0.67847,            0.031323,            0.024067,           0.0030159,           0.0017083,           0.0017083,            0.044208
                  72,            0.036682,            0.042538,           0.0076154,             0.89892,             0.83799,             0.89978,             0.68164,            0.030979,            0.023896,           0.0030082,           0.0016744,           0.0016744,            0.043374
                  73,            0.035699,            0.041678,           0.0073818,             0.91065,             0.82222,             0.90054,             0.67523,            0.031114,            0.023848,           0.0030107,           0.0016388,           0.0016388,            0.042539
                  74,            0.037225,            0.048512,            0.007262,             0.89427,             0.83381,             0.89968,             0.67785,               0.031,             0.02378,           0.0029942,           0.0016017,           0.0016017,            0.041702
                  75,            0.035986,            0.048629,           0.0071525,             0.89367,             0.83885,             0.90275,             0.68202,            0.030465,            0.023694,           0.0029731,            0.001563,            0.001563,            0.040863
                  76,            0.035627,            0.040644,           0.0076897,             0.90763,             0.83071,             0.90112,             0.67514,            0.030942,            0.023694,           0.0029641,           0.0015227,           0.0015227,            0.040023
                  77,            0.034372,            0.044456,            0.006491,             0.91734,             0.82602,             0.90642,              0.6802,            0.030396,            0.023406,           0.0029372,           0.0014809,           0.0014809,            0.039181
                  78,            0.036674,            0.045966,           0.0073789,             0.91805,             0.82596,             0.90492,             0.68371,            0.030175,            0.023215,           0.0029082,           0.0014374,           0.0014374,            0.038337
                  79,            0.036572,            0.052935,           0.0078948,               0.927,             0.82576,             0.90726,             0.68754,            0.030057,            0.023122,           0.0028502,           0.0013924,           0.0013924,            0.037492
                  80,             0.03499,            0.040543,           0.0069117,             0.93087,             0.82374,             0.91214,             0.68699,            0.030053,            0.023119,           0.0028343,           0.0013458,           0.0013458,            0.036646
                  81,            0.035098,            0.044977,           0.0069651,             0.92443,             0.82845,             0.91003,             0.69201,            0.030094,            0.023043,           0.0028223,           0.0012976,           0.0012976,            0.035798
                  82,            0.036022,            0.045806,           0.0064332,             0.91726,             0.83972,              0.9086,             0.68885,             0.03013,            0.023046,           0.0028071,           0.0012478,           0.0012478,            0.034948
                  83,            0.034792,             0.03835,           0.0071945,             0.93164,             0.82728,             0.90994,             0.69016,            0.029995,            0.022824,           0.0027899,           0.0011964,           0.0011964,            0.034096
                  84,            0.035057,            0.045542,           0.0067802,             0.93839,             0.82376,             0.90656,             0.68981,            0.029816,             0.02276,           0.0027673,           0.0011434,           0.0011434,            0.033243
                  85,            0.034087,            0.043425,           0.0061081,             0.93703,             0.82382,             0.90547,             0.69577,            0.029634,            0.022674,           0.0027403,           0.0010889,           0.0010889,            0.032389
                  86,            0.035772,            0.041125,           0.0060338,             0.90018,             0.84816,             0.90661,             0.69779,             0.02978,            0.022655,           0.0027273,           0.0010328,           0.0010328,            0.031533
                  87,            0.034788,            0.043596,           0.0065994,             0.91122,             0.83815,                0.91,             0.68952,            0.029711,            0.022602,           0.0027109,          0.00097506,          0.00097506,            0.030675
                  88,            0.036883,            0.045876,            0.007334,             0.92416,             0.82766,             0.90993,             0.69176,            0.029408,             0.02256,           0.0027079,          0.00091577,          0.00091577,            0.029816
                  89,            0.035404,            0.044289,            0.006495,             0.92667,             0.83325,             0.91073,             0.69386,            0.029163,            0.022463,           0.0027088,          0.00085489,          0.00085489,            0.028955
                  90,             0.03448,            0.044151,           0.0074105,             0.94246,             0.82255,             0.91035,             0.69401,            0.029102,            0.022382,           0.0027067,          0.00079243,          0.00079243,            0.028092
                  91,            0.034343,             0.04456,           0.0058143,             0.93736,             0.82449,             0.90963,             0.69644,            0.029039,            0.022282,           0.0027009,          0.00072838,          0.00072838,            0.027228
